time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,file,threads,gcthreads,version
14274981528,6518084050,4318979389,2199021701,130192664,0,4,objarray.jl,16,16,1.12.0-DEV.153
14708965633,6624202833,4439169577,2184942936,336194732,0,5,objarray.jl,16,16,1.12.0-DEV.153
14257238281,6466059826,4307512808,2158471938,225085840,0,4,objarray.jl,16,16,1.12.0-DEV.153
14760441083,6965911837,4689606561,2276226356,162990110,0,4,objarray.jl,16,16,1.12.0-DEV.153
15197991536,7260101878,4455967698,2804056660,273088058,0,4,objarray.jl,16,16,1.12.0-DEV.153
14246625762,6448101617,4268444702,2179576035,210121122,0,4,objarray.jl,16,16,1.12.0-DEV.153
13999412499,6288707017,4337485318,1951145339,293992670,0,4,objarray.jl,16,16,1.12.0-DEV.153
14719042998,6742318149,4475575810,2266658139,248346376,0,5,objarray.jl,16,16,1.12.0-DEV.153
14273847594,6488354360,4543554266,1944725414,261097562,0,4,objarray.jl,16,16,1.12.0-DEV.153
14446756294,6903341936,4640678929,2262588366,173200105,0,4,objarray.jl,16,16,1.12.0-DEV.153
13683583441,5465187805,3987488715,1477621010,275131604,0,4,objarray.jl,16,16,1.12.0-DEV.153
14664742440,6536930659,4354048603,2182793816,407720824,0,5,objarray.jl,16,16,1.12.0-DEV.153
14453728192,6582066528,4352565310,2229420578,117612958,0,4,objarray.jl,16,16,1.12.0-DEV.153
15112091742,7399973097,4916928978,2482962879,176536745,0,4,objarray.jl,16,16,1.12.0-DEV.153
14777213701,7050774021,4777739175,2272951006,225952088,0,4,objarray.jl,16,16,1.12.0-DEV.153
15068261484,7130815085,4410183448,2720518877,303987947,0,4,objarray.jl,16,16,1.12.0-DEV.153
14907131641,7057134392,4745276577,2311776615,130293594,0,4,objarray.jl,16,16,1.12.0-DEV.153
14394467988,6614055859,4375909831,2238063988,118332105,0,4,objarray.jl,16,16,1.12.0-DEV.153
15431331226,7325819888,4612184913,2713556295,121940275,0,4,objarray.jl,16,16,1.12.0-DEV.153
14377229315,6527646873,4311756537,2215780056,219168127,0,4,objarray.jl,16,16,1.12.0-DEV.153
4812947179,2894140051,1376712261,1517102630,3709485,0,14,tree_immutable.jl,16,16,1.12.0-DEV.153
4503734443,2689383252,1448245556,1240754535,208733784,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
4842952304,2909854996,1395068145,1514432690,7264370,0,14,tree_immutable.jl,16,16,1.12.0-DEV.153
4338272437,2626208532,1425852976,1199965515,18478113,0,14,tree_immutable.jl,16,16,1.12.0-DEV.153
4592390942,2870959293,1550037827,1320467144,3578123,0,17,tree_immutable.jl,16,16,1.12.0-DEV.153
4908754806,3098903489,1551493551,1546983898,6496733,0,17,tree_immutable.jl,16,16,1.12.0-DEV.153
4616720129,2902385102,1416193506,1485819916,4692813,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
4417632222,2786351017,1505622639,1280386258,4924048,0,17,tree_immutable.jl,16,16,1.12.0-DEV.153
4969237054,3080922753,1600327390,1480236721,22635965,0,17,tree_immutable.jl,16,16,1.12.0-DEV.153
4187722039,2529147090,1452920803,1075867567,197521416,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5084280653,3137131862,1530920161,1605790981,6590653,0,18,tree_immutable.jl,16,16,1.12.0-DEV.153
4964935216,3129563784,1450150291,1679072133,4205128,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
5042460954,3158121221,1566262489,1591489892,4715692,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
5060501179,3178867072,1533989636,1644532876,6666852,0,18,tree_immutable.jl,16,16,1.12.0-DEV.153
5033809676,3120281058,1570634315,1549265623,6134613,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
4307693217,2590273613,1427820401,1162094812,11004463,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
4415361129,2559691012,1440409323,1118919129,20352118,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
4607631685,2908232340,1406210339,1501667041,3954484,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
4290813850,2646024563,1509717467,1135944656,14560589,0,17,tree_immutable.jl,16,16,1.12.0-DEV.153
5035667767,3134276736,1496755377,1637090239,8148972,0,17,tree_immutable.jl,16,16,1.12.0-DEV.153
7191627245,4688512178,2361718381,2326450675,17580157,0,21,tree_mutable.jl,16,16,1.12.0-DEV.153
8116281244,5537881613,2515703870,3021753783,239617492,0,22,tree_mutable.jl,16,16,1.12.0-DEV.153
6894206770,4497597381,2379762557,2117504744,8218815,0,21,tree_mutable.jl,16,16,1.12.0-DEV.153
8257982654,5494735310,2348176146,3146236843,30065806,0,21,tree_mutable.jl,16,16,1.12.0-DEV.153
8239925323,5508650023,2504548562,3003691898,23368591,0,21,tree_mutable.jl,16,16,1.12.0-DEV.153
8229738396,5571715502,2507611144,3063756756,276354982,0,22,tree_mutable.jl,16,16,1.12.0-DEV.153
7211299688,4908086474,2385902143,2521858448,3589147,0,22,tree_mutable.jl,16,16,1.12.0-DEV.153
7978807197,5477221467,2480546821,2996275324,3725356,0,21,tree_mutable.jl,16,16,1.12.0-DEV.153
