time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,max_memory,file,threads,gcthreads,version
5150835008,681611670,641927073,39650079,29557,0,0,1806542104,TimeZones.jl,1,2,1.12.0-DEV.153
5089161509,684809820,646196911,38530822,26447,0,0,1800144040,TimeZones.jl,1,2,1.12.0-DEV.153
5062072314,690407142,655267396,35059557,28428,0,0,1781599296,TimeZones.jl,1,2,1.12.0-DEV.153
5020640976,689365870,654887144,34427154,29103,0,0,1780053176,TimeZones.jl,1,2,1.12.0-DEV.153
5044112550,687209966,647024461,40105949,30537,0,0,1797788696,TimeZones.jl,1,2,1.12.0-DEV.153
5028389294,689098969,654907723,34120609,26077,0,0,1780458728,TimeZones.jl,1,2,1.12.0-DEV.153
5045870784,690241278,654645280,35501150,27021,0,0,1781026520,TimeZones.jl,1,2,1.12.0-DEV.153
5029930480,690621719,655500448,35113323,26899,0,0,1781416816,TimeZones.jl,1,2,1.12.0-DEV.153
5036493849,689041927,654987590,34004135,27945,0,0,1779391704,TimeZones.jl,1,2,1.12.0-DEV.153
5026994446,686056035,646698959,39230853,27921,0,0,1798210368,TimeZones.jl,1,2,1.12.0-DEV.153
3919672668,520651997,303777096,216706996,205148,0,6,3275872624,append.jl,1,2,1.12.0-DEV.153
3854659396,414230645,253053307,161048863,198110,0,4,4129066376,append.jl,1,2,1.12.0-DEV.153
3905337471,528792412,308846210,219792301,213013,0,6,3272841824,append.jl,1,2,1.12.0-DEV.153
3830752999,413362530,252791855,160435661,198357,0,4,4129387864,append.jl,1,2,1.12.0-DEV.153
3870195733,424607428,262793306,161677394,195745,0,4,4127831032,append.jl,1,2,1.12.0-DEV.153
3852571979,414661482,254231993,160283924,198789,0,4,4129445672,append.jl,1,2,1.12.0-DEV.153
3856268467,419428840,258475856,160820456,194766,0,4,4129384680,append.jl,1,2,1.12.0-DEV.153
3902429393,415051417,254206482,160706895,201808,0,4,4129175496,append.jl,1,2,1.12.0-DEV.153
3999211876,413298013,253136187,160029470,201942,0,4,4129228392,append.jl,1,2,1.12.0-DEV.153
4004595039,413377805,253632637,159610493,205471,0,4,4129589712,append.jl,1,2,1.12.0-DEV.153
2772586427,1652308883,1533050869,119205927,20447,0,2,812931468,many_refs.jl,1,2,1.12.0-DEV.153
2684572606,1648532780,1529535797,118939574,20326,0,2,811226564,many_refs.jl,1,2,1.12.0-DEV.153
