time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,max_memory,file,threads,gcthreads,version
6118019600,3150981385,2718884172,431941973,0.0,0.0,0.0,2158265356,mergesort_parallel.jl,16,0,1.9.4
1311189629,284882969,219384734,65427835,0.0,0.0,0.0,2622019357,mm_divide_and_conquer.jl,16,0,1.9.4
1273996957,275147161,218719013,56354348,0.0,0.0,0.0,2545195738,mm_divide_and_conquer.jl,16,0,1.9.4
1262728953,270691836,215256090,55363426,0.0,0.0,0.0,2555854306,mm_divide_and_conquer.jl,16,0,1.9.4
1276101697,275651523,220379418,55199944,0.0,0.0,0.0,2307189730,mm_divide_and_conquer.jl,16,0,1.9.4
1267139577,279342966,223356141,55912225,0.0,0.0,0.0,2612404826,mm_divide_and_conquer.jl,16,0,1.9.4
1288027051,274200805,218275059,55848946,0.0,0.0,0.0,2563541562,mm_divide_and_conquer.jl,16,0,1.9.4
1306647763,275759171,216997020,58695831,0.0,0.0,0.0,2505179898,mm_divide_and_conquer.jl,16,0,1.9.4
1280378302,272269530,217255663,54940387,0.0,0.0,0.0,2515408138,mm_divide_and_conquer.jl,16,0,1.9.4
1269982298,274451812,219298386,55078106,0.0,0.0,0.0,2505707978,mm_divide_and_conquer.jl,16,0,1.9.4
1318375247,285343667,231480402,53788104,0.0,0.0,0.0,2393840474,mm_divide_and_conquer.jl,16,0,1.9.4
