time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,max_memory,file,threads,gcthreads,version
3959338822,1576502944,1228877383,347227680,768361,0,3,1360654180,mergesort_parallel.jl,16,2,1.12.0-DEV.153
4212743370,1708805530,1336447475,371916854,731960,0,3,1482685388,mergesort_parallel.jl,16,2,1.12.0-DEV.153
4730618409,1965881007,1633100320,332418687,679483,0,3,1803367980,mergesort_parallel.jl,16,2,1.12.0-DEV.153
1377919694,284426297,224147438,60234979,219615186,0,3,2490297936,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1320822524,230506851,168526027,61943504,234820782,0,3,2583298432,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1314841231,226423804,167599869,58789655,226115920,0,3,2512302760,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1354306243,239587434,175391206,64162028,242592958,0,3,2578275040,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1350358755,233194455,174588481,58571054,243479762,0,3,2510811632,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1351765920,238776832,176987008,61757424,238873310,0,3,2500355056,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1353892006,237325709,174792045,62495784,237817908,0,3,2561823192,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1321905094,228317930,168179111,60104339,231321134,0,3,2593291848,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1342326662,227186164,165327862,61820102,237674590,0,3,2455233192,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
1335699488,229525328,167306264,62184744,232205939,0,3,2569474744,mm_divide_and_conquer.jl,16,2,1.12.0-DEV.153
