time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,file,threads,gcthreads,version
15529978699,6235349040,4938239542,1296939035,879806901,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
14632220613,5988787648,4685722763,1302936724,760709563,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
14149786319,5981928205,4670717016,1311087832,267278340,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
14799265571,6687542106,5304067141,1383336846,570402385,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
14661185019,6044294631,4752793370,1291367147,598559776,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
15227277528,6489419380,5109188934,1380096714,503741260,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
15244955601,6600493755,5157272251,1443017315,646779841,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
15337412083,6761401969,5321364607,1439898694,310692343,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
15704486057,7051395634,5601794030,1449466679,446069009,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
14858338338,6279270360,4920114341,1359009075,529022879,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
14855488752,5716899595,4502156981,1214605437,598205663,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
15656705885,6909864854,5462031837,1447684335,445173992,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
14891477759,6092064528,4823059901,1268873995,556841203,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
15779570537,6747028665,5316277184,1430579523,717172662,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
14901068647,6206983332,4864993638,1341765452,653461665,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
15256736009,6557579675,5169325261,1388113264,418563734,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
14901543102,6150259789,4836300426,1313819259,377828282,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
14652741251,5986965038,4713958482,1272864699,652161412,0,5,objarray.jl,16,"16,1",1.12.0-DEV.153
15184655919,6366125762,5027001452,1338974954,456661522,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
15463984207,6861071647,5416995335,1443930047,506980304,0,4,objarray.jl,16,"16,1",1.12.0-DEV.153
4256924881,1867166808,1317207621,549328526,32617098,0,16,tree_immutable.jl,16,"16,1",1.12.0-DEV.153
4409907388,1825836420,1263932134,561145443,51696789,0,16,tree_immutable.jl,16,"16,1",1.12.0-DEV.153
4346302133,1961785846,1413881474,547244620,36402375,0,17,tree_immutable.jl,16,"16,1",1.12.0-DEV.153
4255892057,1889694746,1340145278,548521285,20986164,0,16,tree_immutable.jl,16,"16,1",1.12.0-DEV.153
