time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,file,threads,gcthreads,version
120500262706,8837608639,656126315,8177543798,237515427,0,0,pidigits.jl,1,1,1.12.0-DEV.153
121195066809,9027944348,676870360,8347017695,318326809,0,0,pidigits.jl,1,1,1.12.0-DEV.153
121544200153,9070744211,692243030,8374339490,243572573,0,0,pidigits.jl,1,1,1.12.0-DEV.153
120610741967,8862683461,661804546,8196787782,305428285,0,0,pidigits.jl,1,1,1.12.0-DEV.153
122034451959,9206291493,688959266,8512990337,293303942,0,0,pidigits.jl,1,1,1.12.0-DEV.153
120543569736,8879360613,660939167,8214336079,249235774,0,0,pidigits.jl,1,1,1.12.0-DEV.153
120641817320,8931170941,661163080,8266093645,225251868,0,0,pidigits.jl,1,1,1.12.0-DEV.153
121302177957,9174273379,683030329,8487058961,244490857,0,0,pidigits.jl,1,1,1.12.0-DEV.153
120741778527,9004683231,674841107,8326124052,294780727,0,0,pidigits.jl,1,1,1.12.0-DEV.153
121423542519,8967972005,687179761,8276435568,249380018,0,0,pidigits.jl,1,1,1.12.0-DEV.153
118859825600,7924977331,856295976,7063842755,368562582,0,0,pidigits.jl,1,2,1.12.0-DEV.153
116888601467,7693223982,805179206,6882908415,259815144,0,0,pidigits.jl,1,2,1.12.0-DEV.153
117864688813,7847891348,813833045,7029544619,277647090,0,0,pidigits.jl,1,2,1.12.0-DEV.153
118337721756,7959601771,862577558,7092633528,331305130,0,0,pidigits.jl,1,2,1.12.0-DEV.153
116863533104,7743074868,830775385,6907482597,261604665,0,0,pidigits.jl,1,2,1.12.0-DEV.153
118352227387,8191047855,845967572,7340281877,279420937,0,0,pidigits.jl,1,2,1.12.0-DEV.153
117147352624,7702938230,809810209,6888594211,325121015,0,0,pidigits.jl,1,2,1.12.0-DEV.153
116840836170,7723112229,818347970,6900376208,301577183,0,0,pidigits.jl,1,2,1.12.0-DEV.153
117653362479,7844474340,831693369,7007972722,263250225,0,0,pidigits.jl,1,2,1.12.0-DEV.153
116982930389,7823359681,805353909,7013410918,257265982,0,0,pidigits.jl,1,2,1.12.0-DEV.153
117599354188,7897410091,833664658,7059178943,238039946,0,0,pidigits.jl,1,4,1.12.0-DEV.153
120392587403,8024264956,813491402,7205795503,271310163,0,0,pidigits.jl,1,4,1.12.0-DEV.153
116953509335,7547670327,857553112,6685055446,256366306,0,0,pidigits.jl,1,4,1.12.0-DEV.153
116520493188,7513852776,855657054,6653239028,252226593,0,0,pidigits.jl,1,4,1.12.0-DEV.153
119829625664,7878756369,803155155,7070665002,263507406,0,0,pidigits.jl,1,4,1.12.0-DEV.153
120386217703,7931427217,802887715,7123497418,273586478,0,0,pidigits.jl,1,4,1.12.0-DEV.153
118620365678,7835945203,820924475,7009746077,299410154,0,0,pidigits.jl,1,4,1.12.0-DEV.153
119961432177,7821057689,798697765,7017601953,325617905,0,0,pidigits.jl,1,4,1.12.0-DEV.153
119777150681,7877558081,802587688,7070285543,250214734,0,0,pidigits.jl,1,4,1.12.0-DEV.153
118775135492,7863023761,801485043,7056489112,254323699,0,0,pidigits.jl,1,4,1.12.0-DEV.153
121409331842,7931052530,966812799,6958040680,264065302,0,0,pidigits.jl,1,8,1.12.0-DEV.153
119478299551,7739352246,907866357,6825558159,249877515,0,0,pidigits.jl,1,8,1.12.0-DEV.153
120356417166,7882984450,904402942,6972718854,235767924,0,0,pidigits.jl,1,8,1.12.0-DEV.153
120513935081,7934303806,952194385,6975775367,260743204,0,0,pidigits.jl,1,8,1.12.0-DEV.153
121610079239,8198059629,975089231,7216558821,274332027,0,0,pidigits.jl,1,8,1.12.0-DEV.153
121685571841,8088615229,950003432,7132780667,293431159,0,0,pidigits.jl,1,8,1.12.0-DEV.153
120859984748,8049600872,974619101,7068828198,251648892,0,0,pidigits.jl,1,8,1.12.0-DEV.153
120855112374,8045927211,943779292,7096096707,265573367,0,0,pidigits.jl,1,8,1.12.0-DEV.153
121280366364,8035719644,931315179,7098038255,243202309,0,0,pidigits.jl,1,8,1.12.0-DEV.153
120999401993,8058580312,949234619,7102967443,270308885,0,0,pidigits.jl,1,8,1.12.0-DEV.153
121892874395,7808393354,1222445264,6578411834,233862335,0,0,pidigits.jl,1,16,1.12.0-DEV.153
119962572229,7637711999,1212521719,6417808384,240949418,0,0,pidigits.jl,1,16,1.12.0-DEV.153
121625802659,7728293729,1229509012,6490994792,231089115,0,0,pidigits.jl,1,16,1.12.0-DEV.153
120513089077,7266279887,1232151071,6026545418,295362688,0,0,pidigits.jl,1,16,1.12.0-DEV.153
120911235087,7412768768,1232312416,6173064869,277794113,0,0,pidigits.jl,1,16,1.12.0-DEV.153
121598293250,7611707216,1285582760,6318857050,270573906,0,0,pidigits.jl,1,16,1.12.0-DEV.153
121602471038,7632225549,1291749314,6332744404,251047509,0,0,pidigits.jl,1,16,1.12.0-DEV.153
121112355503,7746810865,1198403851,6540607981,233646859,0,0,pidigits.jl,1,16,1.12.0-DEV.153
122096695243,7881223314,1238719026,6634951899,241148189,0,0,pidigits.jl,1,16,1.12.0-DEV.153
120873586280,7574564600,1147619722,6419469170,286519032,0,0,pidigits.jl,1,16,1.12.0-DEV.153
2295393220441,313077771992,307904341124,5173365908,252683,0,5,rb_tree.jl,1,1,1.12.0-DEV.153
2295015890453,309221354062,303948407621,5272880441,241042,0,6,rb_tree.jl,1,1,1.12.0-DEV.153
2425671857772,258727438787,254954771457,3772618330,181641,0,5,rb_tree.jl,1,1,1.12.0-DEV.153
3009102173155,371612102190,366216356305,5395667325,249163,0,6,rb_tree.jl,1,1,1.12.0-DEV.153
3181911382898,325700360678,321049176440,4651123558,230720,0,5,rb_tree.jl,1,1,1.12.0-DEV.153
2951780993041,369734952849,364405061609,5329813400,265961,0,6,rb_tree.jl,1,1,1.12.0-DEV.153
2311426040365,290499660352,285447618071,5051961881,230240,0,6,rb_tree.jl,1,1,1.12.0-DEV.153
2344672846495,249836134318,246120963443,3715118955,206681,0,5,rb_tree.jl,1,1,1.12.0-DEV.153
2230469693046,233471527308,229800530418,3670939250,213480,0,6,rb_tree.jl,1,1,1.12.0-DEV.153
2952774394680,278986938680,275250902170,3735991189,196400,0,5,rb_tree.jl,1,1,1.12.0-DEV.153
2820469508409,217006974665,212245241472,4761655753,356520,0,6,rb_tree.jl,1,2,1.12.0-DEV.153
2427672566799,209208894257,204283346676,4925471340,423001,0,6,rb_tree.jl,1,2,1.12.0-DEV.153
2709132801439,196986759951,191780583563,5206116548,402319,0,6,rb_tree.jl,1,2,1.12.0-DEV.153
3074506705487,242649803160,237514395000,5135333080,431282,0,6,rb_tree.jl,1,2,1.12.0-DEV.153
2521098201127,210283366135,205378171080,4905122375,399081,0,6,rb_tree.jl,1,2,1.12.0-DEV.153
2932687091874,198137685722,193427801741,4709820420,380641,0,6,rb_tree.jl,1,2,1.12.0-DEV.153
2389106399726,200836986599,196138349745,4698563014,385160,0,6,rb_tree.jl,1,2,1.12.0-DEV.153
2196287738902,179228938458,175036231946,4192643552,356561,0,5,rb_tree.jl,1,2,1.12.0-DEV.153
2152445446672,171055237936,166982115622,4073062114,365881,0,5,rb_tree.jl,1,2,1.12.0-DEV.153
2157283564311,173417085840,169270600631,4146423168,355960,0,5,rb_tree.jl,1,2,1.12.0-DEV.153
