time,gc_time,mark_time,sweep_time,ncollections,nfull_sweeps,file,threads,gcthreads,version
5392473186,957705117,909324306,48348566,0,0,TimeZones.jl,1,0,1.9.4
5364952403,966212954,905931246,60223597,0,0,TimeZones.jl,1,0,1.9.4
5374208298,964186901,905142894,58990331,0,0,TimeZones.jl,1,0,1.9.4
5372675189,967021040,906741336,60205817,0,0,TimeZones.jl,1,0,1.9.4
5364281007,966487949,906150612,60278288,0,0,TimeZones.jl,1,0,1.9.4
5370132281,964671956,904450019,60165798,0,0,TimeZones.jl,1,0,1.9.4
5368266854,965935330,905590087,60283284,0,0,TimeZones.jl,1,0,1.9.4
5366779339,966104280,905839076,60206003,0,0,TimeZones.jl,1,0,1.9.4
5380739894,981647079,920200679,61387304,0,0,TimeZones.jl,1,0,1.9.4
5386697021,982088065,921043982,60982249,0,0,TimeZones.jl,1,0,1.9.4
5401658268,983586625,922331161,61183083,0,0,TimeZones.jl,1,0,1.9.4
5392818121,982727613,921499697,61173012,0,0,TimeZones.jl,1,0,1.9.4
5396018507,984190740,922853093,61274470,0,0,TimeZones.jl,1,0,1.9.4
5537012324,982823903,921831357,60934468,0,0,TimeZones.jl,1,0,1.9.4
5388949784,983089876,921961921,61065783,0,0,TimeZones.jl,1,0,1.9.4
5367805594,984304656,922830064,61416830,0,0,TimeZones.jl,1,0,1.9.4
5404324413,986048177,925745918,60242586,0,0,TimeZones.jl,1,0,1.9.4
5398385718,983687981,922444056,61186788,0,0,TimeZones.jl,1,0,1.9.4
5382914378,966690934,906331391,60301378,0,0,TimeZones.jl,1,0,1.9.4
5408841679,984738499,922438025,62244617,0,0,TimeZones.jl,1,0,1.9.4
4290980792,559187126,437021209,121879539,0,6,append.jl,1,0,1.9.4
4305447908,539655832,432117050,107324467,0,5,append.jl,1,0,1.9.4
4303333744,542814870,434850579,107746085,0,5,append.jl,1,0,1.9.4
4294400061,537163878,430475603,106466379,0,5,append.jl,1,0,1.9.4
4294688319,537227973,430844595,106162855,0,5,append.jl,1,0,1.9.4
4277562397,534853426,428922081,105719136,0,5,append.jl,1,0,1.9.4
4301433731,539570265,432812071,106528585,0,5,append.jl,1,0,1.9.4
4296247976,539034207,432321548,106490946,0,5,append.jl,1,0,1.9.4
4272209447,532896604,428082094,104598286,0,5,append.jl,1,0,1.9.4
4270026669,533329046,428425374,104693173,0,5,append.jl,1,0,1.9.4
4271065203,533726718,428016717,105474130,0,5,append.jl,1,0,1.9.4
4304468027,543141364,435618895,107302095,0,5,append.jl,1,0,1.9.4
4303406950,540615378,433067044,107323414,0,5,append.jl,1,0,1.9.4
4298204692,539568818,432450804,106898385,0,5,append.jl,1,0,1.9.4
4303189114,539866581,433106808,106548055,0,5,append.jl,1,0,1.9.4
4283245175,535128385,429989321,104927322,0,5,append.jl,1,0,1.9.4
4307214099,541809088,434246561,107344043,0,5,append.jl,1,0,1.9.4
4272591385,533714644,428951689,104550379,0,5,append.jl,1,0,1.9.4
4298254914,538990602,431468166,107308816,0,5,append.jl,1,0,1.9.4
4297430635,539991652,433285669,106490935,0,5,append.jl,1,0,1.9.4
4130672340,3170375779,2789122509,381098228,0,2,many_refs.jl,1,0,1.9.4
4134619178,3172696005,2794491947,378092792,0,2,many_refs.jl,1,0,1.9.4
4129682640,3171225998,2793982833,377123527,0,2,many_refs.jl,1,0,1.9.4
4126931503,3165092361,2790876099,374112803,0,2,many_refs.jl,1,0,1.9.4
4135518465,3170991179,2793705508,377183397,0,2,many_refs.jl,1,0,1.9.4
4131590924,3170899268,2794459893,376334192,0,2,many_refs.jl,1,0,1.9.4
4117715418,3158450539,2783766062,374586141,0,2,many_refs.jl,1,0,1.9.4
4127923949,3168086973,2791079490,376906897,0,2,many_refs.jl,1,0,1.9.4
4131185169,3169852146,2794440539,375302501,0,2,many_refs.jl,1,0,1.9.4
4125591984,3164986598,2789275506,375606668,0,2,many_refs.jl,1,0,1.9.4
4126161873,3165793533,2789606588,376084053,0,2,many_refs.jl,1,0,1.9.4
4127261033,3168409287,2791550997,376750974,0,2,many_refs.jl,1,0,1.9.4
4131666388,3169657855,2793002744,376550215,0,2,many_refs.jl,1,0,1.9.4
4214796692,3168741788,2792693831,375947541,0,2,many_refs.jl,1,0,1.9.4
4126364260,3166044558,2790614419,375326797,0,2,many_refs.jl,1,0,1.9.4
4125370156,3166581401,2788287362,378189929,0,2,many_refs.jl,1,0,1.9.4
4124921473,3164696655,2788808774,375775560,0,2,many_refs.jl,1,0,1.9.4
4123840453,3167861368,2791585977,376169627,0,2,many_refs.jl,1,0,1.9.4
4122875010,3163366849,2788874812,374388397,0,2,many_refs.jl,1,0,1.9.4
4131284034,3170718506,2794330550,376287411,0,2,many_refs.jl,1,0,1.9.4
1375922897,765032560,731668629,33245312,0,2,single_ref.jl,1,0,1.9.4
1380304954,772996539,738784024,34087092,0,2,single_ref.jl,1,0,1.9.4
1376603681,765944213,732459735,33368802,0,2,single_ref.jl,1,0,1.9.4
1381752712,777063664,743137683,33799841,0,2,single_ref.jl,1,0,1.9.4
1380469871,772743884,739080193,33554909,0,2,single_ref.jl,1,0,1.9.4
1381256592,771832101,737754291,33953294,0,2,single_ref.jl,1,0,1.9.4
1378853496,771521633,737821489,33575975,0,2,single_ref.jl,1,0,1.9.4
1387506958,776508769,742291463,34100469,0,2,single_ref.jl,1,0,1.9.4
1374915945,768696478,734830567,33747022,0,2,single_ref.jl,1,0,1.9.4
1377137572,772319346,738294328,33900706,0,2,single_ref.jl,1,0,1.9.4
1373787468,769981147,736115242,33748371,0,2,single_ref.jl,1,0,1.9.4
1375694092,769770354,735783637,33880048,0,2,single_ref.jl,1,0,1.9.4
1372239610,768738169,734503576,34113232,0,2,single_ref.jl,1,0,1.9.4
1372516569,769266263,735842823,33307942,0,2,single_ref.jl,1,0,1.9.4
1382642153,779054499,744830393,34108202,0,2,single_ref.jl,1,0,1.9.4
1374327320,769874181,735810405,33939654,0,2,single_ref.jl,1,0,1.9.4
1378091028,771429939,737381460,33929113,0,2,single_ref.jl,1,0,1.9.4
1378944306,775119584,740930657,34068526,0,2,single_ref.jl,1,0,1.9.4
1369807937,764511210,731009567,33383297,0,2,single_ref.jl,1,0,1.9.4
1378446816,774024552,740051272,33850652,0,2,single_ref.jl,1,0,1.9.4
1296750278,434412096,104199173,48243787,0,1,pollard.jl,1,0,1.9.4
1098222241,308946243,23976115,29657352,0,0,pollard.jl,1,0,1.9.4
1100378333,309686852,23973575,29679401,0,0,pollard.jl,1,0,1.9.4
1102666021,309342470,24057612,29671386,0,0,pollard.jl,1,0,1.9.4
1100541388,309192854,24010779,29688243,0,0,pollard.jl,1,0,1.9.4
1104682894,309720789,24027588,29552413,0,0,pollard.jl,1,0,1.9.4
1109100153,309118797,23982807,29626956,0,0,pollard.jl,1,0,1.9.4
1098333886,307963517,23748097,29250956,0,0,pollard.jl,1,0,1.9.4
1100287810,308645058,24122444,29521820,0,0,pollard.jl,1,0,1.9.4
1104584754,309231666,23985019,29674793,0,0,pollard.jl,1,0,1.9.4
1093008665,308549067,23944096,29574404,0,0,pollard.jl,1,0,1.9.4
1095976911,307839639,23894664,29216454,0,0,pollard.jl,1,0,1.9.4
1095877791,307547050,23640983,29189911,0,0,pollard.jl,1,0,1.9.4
1098603149,307720747,23736722,29270799,0,0,pollard.jl,1,0,1.9.4
1096246037,306969814,23549233,29071684,0,0,pollard.jl,1,0,1.9.4
1122876158,307749992,23853219,29309883,0,0,pollard.jl,1,0,1.9.4
1100873465,308684499,23746687,29340108,0,0,pollard.jl,1,0,1.9.4
1127007728,307601962,23619251,29143228,0,0,pollard.jl,1,0,1.9.4
1099113882,309176859,23717569,29455146,0,0,pollard.jl,1,0,1.9.4
1101365715,308102968,23824253,29356663,0,0,pollard.jl,1,0,1.9.4
11243068861,8248923774,7303838635,944905150,0,2,list.jl,1,0,1.9.4
11629900921,8621980098,7666731446,955126462,0,2,list.jl,1,0,1.9.4
11633052168,8624136386,7668189091,955819609,0,2,list.jl,1,0,1.9.4
11586873163,8596026232,7644305268,951595403,0,2,list.jl,1,0,1.9.4
11631970606,8621711529,7664966532,956617686,0,2,list.jl,1,0,1.9.4
11618252568,8615101447,7659084352,955887603,0,2,list.jl,1,0,1.9.4
11629734769,8618515437,7661422425,956965183,0,2,list.jl,1,0,1.9.4
11598490865,8612874250,7660830788,951907848,0,2,list.jl,1,0,1.9.4
11631883484,8624127603,7667441021,956557451,0,2,list.jl,1,0,1.9.4
11604031630,8614526674,7662338488,952064693,0,2,list.jl,1,0,1.9.4
11598237083,8609811052,7658632832,951040111,0,2,list.jl,1,0,1.9.4
11515409448,8505302739,7549294840,955882136,0,2,list.jl,1,0,1.9.4
11630328069,8620625336,7664876108,955623401,0,2,list.jl,1,0,1.9.4
11638886948,8625982788,7669377906,956477190,0,2,list.jl,1,0,1.9.4
11597662484,8615930190,7664878693,950924849,0,2,list.jl,1,0,1.9.4
11624922542,8617029167,7660900252,956000740,0,2,list.jl,1,0,1.9.4
11607326474,8616803851,7664989430,951684045,0,2,list.jl,1,0,1.9.4
11625998993,8619361743,7663637002,955601210,0,2,list.jl,1,0,1.9.4
11630071998,8625975310,7669668663,956172156,0,2,list.jl,1,0,1.9.4
11629881505,8618779815,7662812867,955843400,0,2,list.jl,1,0,1.9.4
11188769003,1089080811,1051155161,37867023,0,0,tree.jl,1,0,1.9.4
11081642451,1087266151,1049457802,37741910,0,0,tree.jl,1,0,1.9.4
10930224484,1077925172,1040122425,37742062,0,0,tree.jl,1,0,1.9.4
11116478856,1108513923,1070504358,37952210,0,0,tree.jl,1,0,1.9.4
10984660791,1077191547,1039341265,37646725,0,0,tree.jl,1,0,1.9.4
11065924219,1097121105,1059273825,37784099,0,0,tree.jl,1,0,1.9.4
11214034630,1202928317,1164817912,38040175,0,0,tree.jl,1,0,1.9.4
11074534856,1099642306,1061734103,37844078,0,0,tree.jl,1,0,1.9.4
10969227919,1078823503,1041182896,37577985,0,0,tree.jl,1,0,1.9.4
10878514803,1090920940,1053175078,37683549,0,0,tree.jl,1,0,1.9.4
10946925544,1106402527,1068677625,37662649,0,0,tree.jl,1,0,1.9.4
11079873760,1097027670,1059065254,37896379,0,0,tree.jl,1,0,1.9.4
10915347897,1076728981,1038867866,37799680,0,0,tree.jl,1,0,1.9.4
11111734700,1110029557,1072130900,37839563,0,0,tree.jl,1,0,1.9.4
11002584865,1088645528,1050383086,38202738,0,0,tree.jl,1,0,1.9.4
11142041091,1090277568,1052242676,37970425,0,0,tree.jl,1,0,1.9.4
11135219950,1088384505,1050445305,37869829,0,0,tree.jl,1,0,1.9.4
11128284222,1093215665,1055253007,37901219,0,0,tree.jl,1,0,1.9.4
11188354568,1100476783,1062047093,38360783,0,0,tree.jl,1,0,1.9.4
11212650156,1091752289,1053718638,37967963,0,0,tree.jl,1,0,1.9.4
26994490787,6346287812,5746149428,599937073,0,3,strings.jl,1,0,1.9.4
25782665074,5423722971,4863181524,560399148,0,3,strings.jl,1,0,1.9.4
26401245747,5509950611,4943735680,566081327,0,3,strings.jl,1,0,1.9.4
26172490507,5493826949,4927968103,565722623,0,3,strings.jl,1,0,1.9.4
26705478343,5506387769,4943026999,563225516,0,3,strings.jl,1,0,1.9.4
27218607620,5576194424,5006305240,569745848,0,3,strings.jl,1,0,1.9.4
25804152204,5492648947,4930705345,561808282,0,3,strings.jl,1,0,1.9.4
26280879448,5492343832,4926702702,565502009,0,3,strings.jl,1,0,1.9.4
27177500464,5532540397,4966047228,566352079,0,3,strings.jl,1,0,1.9.4
26707735125,5521719784,4955046589,566531168,0,3,strings.jl,1,0,1.9.4
26271787857,5535173499,4967367022,567666218,0,3,strings.jl,1,0,1.9.4
26399421271,5517206170,4950125340,566941004,0,3,strings.jl,1,0,1.9.4
26079802556,5490410372,4923933491,566341283,0,3,strings.jl,1,0,1.9.4
26211151684,5540360584,4973190660,567036941,0,3,strings.jl,1,0,1.9.4
25770420596,5439046900,4876540735,562374824,0,3,strings.jl,1,0,1.9.4
25866502157,5438662083,4877915651,560597692,0,3,strings.jl,1,0,1.9.4
26145610020,5483374250,4918035725,565202246,0,3,strings.jl,1,0,1.9.4
26224337704,5536753292,4969950330,566661177,0,3,strings.jl,1,0,1.9.4
26390707281,5491974040,4926329756,565501780,0,3,strings.jl,1,0,1.9.4
26073722990,5537059222,4970027659,566886559,0,3,strings.jl,1,0,1.9.4
