time,gc_time,mark_time,sweep_time,ncollections,nfull_sweeps,file,threads,gcthreads,version
11146921083,1426673823,421303333,1003096531,0,4,issue-52937.jl,16,0,1.9.4
10925216971,1304684136,430507018,871708699,0,4,issue-52937.jl,16,0,1.9.4
11070018325,1273635810,430581108,840325690,0,4,issue-52937.jl,16,0,1.9.4
11214973672,1306374455,425702394,878070603,0,4,issue-52937.jl,16,0,1.9.4
11067030845,1308758043,426296711,879703216,0,4,issue-52937.jl,16,0,1.9.4
11046835979,1314494964,426667805,885164171,0,4,issue-52937.jl,16,0,1.9.4
10771305949,1272335623,427023479,842808877,0,4,issue-52937.jl,16,0,1.9.4
10785529722,1290089669,429216647,858374178,0,4,issue-52937.jl,16,0,1.9.4
11025119217,1312598055,422587043,887571735,0,4,issue-52937.jl,16,0,1.9.4
10817201820,1337278725,425968499,908768557,0,4,issue-52937.jl,16,0,1.9.4
11141731088,1268917659,429227993,837161018,0,4,issue-52937.jl,16,0,1.9.4
11057767058,1293730329,427281319,863585661,0,4,issue-52937.jl,16,0,1.9.4
10893660294,1313502325,428051447,882766612,0,4,issue-52937.jl,16,0,1.9.4
10934861490,1287193957,428162706,856385392,0,4,issue-52937.jl,16,0,1.9.4
11048086301,1286327560,428999005,854795982,0,4,issue-52937.jl,16,0,1.9.4
10754801069,1225151440,339581793,883220673,0,3,issue-52937.jl,16,0,1.9.4
11126581140,1292299375,429525293,860129181,0,4,issue-52937.jl,16,0,1.9.4
11045067260,1313085724,427317938,883097263,0,4,issue-52937.jl,16,0,1.9.4
11038805362,1339512184,429999484,906852025,0,4,issue-52937.jl,16,0,1.9.4
11100170883,1328364374,430434024,895423297,0,4,issue-52937.jl,16,0,1.9.4
57682337401,50287312483,35113485712,15173562203,0,4,objarray.jl,16,0,1.9.4
54042730088,46630687136,32812633636,13817793203,0,3,objarray.jl,16,0,1.9.4
57705618105,50258135749,35132713599,15125161027,0,4,objarray.jl,16,0,1.9.4
56808287687,49251639646,34370302196,14881077768,0,4,objarray.jl,16,0,1.9.4
53896712048,46661894937,32851822055,13809817197,0,3,objarray.jl,16,0,1.9.4
55240291289,47867032641,33510985619,14355784067,0,4,objarray.jl,16,0,1.9.4
57696898673,50411429245,35470503934,14940660128,0,4,objarray.jl,16,0,1.9.4
54376380910,47150876309,33165916207,13984684551,0,4,objarray.jl,16,0,1.9.4
52807250229,45369543881,31830566636,13538720974,0,4,objarray.jl,16,0,1.9.4
54182215628,46883603627,32800722686,14082617781,0,4,objarray.jl,16,0,1.9.4
56311140053,48877574199,34189403187,14687901681,0,4,objarray.jl,16,0,1.9.4
54084422089,46758023482,32782241532,13975522080,0,4,objarray.jl,16,0,1.9.4
54103050652,46843472544,32976659150,13866551699,0,3,objarray.jl,16,0,1.9.4
56095993714,48708566089,34055962655,14652339063,0,4,objarray.jl,16,0,1.9.4
57580531761,50159657589,34994859099,15164504722,0,4,objarray.jl,16,0,1.9.4
52508668741,44875222307,31603338306,13271587321,0,4,objarray.jl,16,0,1.9.4
52496831591,44677498945,31088358780,13588852118,0,4,objarray.jl,16,0,1.9.4
51904745722,44419516297,31268283843,13150937807,0,4,objarray.jl,16,0,1.9.4
56679660799,49183531375,34334318511,14848947939,0,4,objarray.jl,16,0,1.9.4
57286274659,49854529127,34800919480,15053324942,0,4,objarray.jl,16,0,1.9.4
7215759984,4824394289,3384853433,1439142953,0,4,tree_immutable.jl,16,0,1.9.4
7358262587,4994523664,3541165904,1453008852,0,4,tree_immutable.jl,16,0,1.9.4
7167334898,4671475604,3288740059,1382429690,0,3,tree_immutable.jl,16,0,1.9.4
7216193216,4738995129,3343202635,1395470216,0,3,tree_immutable.jl,16,0,1.9.4
7332735499,4932709228,3526447643,1405906103,0,4,tree_immutable.jl,16,0,1.9.4
6955539345,4695205202,3318812537,1376045287,0,3,tree_immutable.jl,16,0,1.9.4
6855165605,4571320674,3217933897,1353060386,0,3,tree_immutable.jl,16,0,1.9.4
7217363832,4716029292,3325013902,1390692511,0,3,tree_immutable.jl,16,0,1.9.4
7104020695,4638478308,3271336958,1366823536,0,3,tree_immutable.jl,16,0,1.9.4
7297540495,4894340014,3499947730,1394045123,0,4,tree_immutable.jl,16,0,1.9.4
7193020078,4677860224,3260191660,1417342528,0,3,tree_immutable.jl,16,0,1.9.4
7319467879,4819105627,3413649487,1405107253,0,4,tree_immutable.jl,16,0,1.9.4
7279526638,4881757305,3499996369,1381411947,0,4,tree_immutable.jl,16,0,1.9.4
6985180448,4708999188,3304112968,1404571067,0,3,tree_immutable.jl,16,0,1.9.4
6757844689,4321794956,3014136234,1307372072,0,2,tree_immutable.jl,16,0,1.9.4
6794130479,4493603262,3124812472,1368510874,0,2,tree_immutable.jl,16,0,1.9.4
7170704501,4687852321,3295658961,1391868768,0,3,tree_immutable.jl,16,0,1.9.4
6980453628,4697559022,3311331945,1385896518,0,3,tree_immutable.jl,16,0,1.9.4
7175892037,4666923887,3300780799,1365833595,0,3,tree_immutable.jl,16,0,1.9.4
7296664250,4879579881,3462400455,1416823755,0,4,tree_immutable.jl,16,0,1.9.4
15316544484,11097754593,7927095699,3170179680,0,6,tree_mutable.jl,16,0,1.9.4
15320973998,11198156457,7990254485,3207442219,0,6,tree_mutable.jl,16,0,1.9.4
15143665654,11015948098,7829101685,3186379413,0,6,tree_mutable.jl,16,0,1.9.4
15379907171,11224739339,8015326260,3208923760,0,6,tree_mutable.jl,16,0,1.9.4
15584509344,11537131215,8283404592,3253212500,0,7,tree_mutable.jl,16,0,1.9.4
14940163567,11107421605,7930198128,3176754257,0,6,tree_mutable.jl,16,0,1.9.4
15568548389,11489766701,8254643678,3234626346,0,7,tree_mutable.jl,16,0,1.9.4
15373271479,11210823314,8028193112,3182149050,0,6,tree_mutable.jl,16,0,1.9.4
15415602735,11280311440,8034234178,3245584089,0,6,tree_mutable.jl,16,0,1.9.4
15407671694,11279091983,8049237723,3229337860,0,7,tree_mutable.jl,16,0,1.9.4
15677588378,11622758626,8447777057,3174423972,0,8,tree_mutable.jl,16,0,1.9.4
